fecha,crecimiento_trimestral
2018-03-31,3.5404
2018-06-30,1.905
2018-09-30,1.5604
2018-12-31,4.5132
2019-03-31,1.844
2019-06-30,1.3728
2019-09-30,4.6742
2019-12-31,-1.6948
2020-03-31,0.3734
2020-06-30,-29.7845
2020-09-30,-17.5629
2020-12-31,-2.7297
2021-03-31,-4.6963
2021-06-30,38.5351
2021-09-30,12.9764
2021-12-31,0.8518
2022-03-31,6.2903
2022-06-30,5.4025
2022-09-30,3.0535
2022-12-31,0.5253
2023-03-31,0.7609
2023-06-30,0.9144
2023-09-30,3.1479
2023-12-31,5.1973
2024-03-31,-0.2642
2024-06-30,0.6758
2024-09-30,-1.4489
2024-12-31,-3.3637
2025-03-31,-1.9734
2025-06-30,-2.792
